Elective,SysSec-BMM*,CC – RW,ML – VN,NWSec – WN,Virtualization- PSK *,AdvAlgo-RPL,IoT – NKS,SP-MNM,Data Comp – VCV,Meta Heuristics – AS,EHCF – DP,DDPC-SNS,DL – AN,Biometrics – MVNK *,SM – CRR,CIP – CB,ACN – V Radha*,SNA – SDB,SocSys-HM
IMTechVIII,50,5,0,50,50,50,15,0,50,50,50,50,50,0,0,15,50,50,50
MTECHCS,50,50,0,50,50,50,15,0,50,50,50,50,50,0,0,15,50,50,50
MTECHAI,50,5,50,50,50,50,5,0,50,50,50,50,50,0,0,10,50,50,50
MTECHIT,50,0,0,50,50,50,5,0,50,50,50,50,50,0,0,5,50,50,50
MCAII,0,8,0,0,0,0,10,0,50,0,0,0,0,0,0,5,0,0,50
IMTechVI,50,5,0,50,50,50,0,0,50,50,50,50,0,0,0,5,50,50,50
